"","sampNum","Plot","Sample..","Year","Genotype","Replicate","Derivation","Barcode","Date","RNAlater","Time","Temp..in.C","Additional.Notes.","info.about.qPCR.at.ARQ"
"135",135,"22","135","2016","Mo021","C","2015_22self","22_C_135","6/11/16","No","1:00-3:00 PM","30-34 C","",""
"136",136,"22","136","2016","Mo021","D","2015_22self","22_D_136","6/11/16","No","1:00-3:00 PM","30-34 C","",""
"137",137,"22","137","2016","Mo021","A","2015_22self","22_A_137","6/16/16","Yes","1:00-2:30 PM","32-34 C","sent to ISU July 2018 plate2",""
"138",138,"22","138","2016","Mo021","B","2015_22self","22_B_138","6/16/16","Yes","1:00-2:30 PM","32-34 C","sent to ISU July 2018 plate2",""
"139",139,"22","139","2016","Mo021","C","2015_22self","22_C_139","6/16/16","Yes","1:00-2:30 PM","32-34 C","sent to ISU July 2018 plate2",""
"140",140,"22","140","2016","Mo021","D","2015_22self","22_D_140","6/16/16","Yes","1:00-2:30 PM","32-34 C","sent to ISU July 2018 plate2",""
"141",141,"22","141","2016","Mo021","A","2015_22self","22_A_141","6/21/16","No","1:00-1:30PM","29-31 C","",""
"142",142,"22","142","2016","Mo021","B","2015_22self","22_B_142","6/21/16","No","1:00-1:30PM","29-31 C","",""
"143",143,"22","143","2016","Mo021","C","2015_22self","22_C_143","6/21/16","No","1:00-1:30PM","29-31 C","",""
"144",144,"22","144","2016","Mo021","D","2015_22self","22_D_144","6/21/16","No","1:00-1:30PM","29-31 C","",""
"145",145,"23","145","2016","Mo022","A","2015_23self","23_A_145","6/11/16","No","1:00-3:00 PM","30-34 C","",""
"146",146,"23","146","2016","Mo022","B","2015_23self","23_B_146","6/11/16","No","1:00-3:00 PM","30-34 C","",""
"147",147,"23","147","2016","Mo022","C","2015_23self","23_C_147","6/11/16","No","1:00-3:00 PM","30-34 C","",""
"148",148,"23","148","2016","Mo022","D","2015_23self","23_D_148","6/11/16","No","1:00-3:00 PM","30-34 C","",""
"149",149,"23","149","2016","Mo022","A","2015_23self","23_A_149","6/16/16","Yes","1:00-2:30 PM","32-34 C","sent to ISU July 2018 plate2",""
"150",150,"23","150","2016","Mo022","B","2015_23self","23_B_150","6/16/16","Yes","1:00-2:30 PM","32-34 C","sent to ISU July 2018 plate2",""
"151",151,"23","151","2016","Mo022","C","2015_23self","23_C_151","6/16/16","Yes","1:00-2:30 PM","32-34 C","sent to ISU July 2018 plate2",""
"152",152,"23","152","2016","Mo022","D","2015_23self","23_D_152","6/16/16","Yes","1:00-2:30 PM","32-34 C","sent to ISU July 2018 plate2",""
"153",153,"23","153","2016","Mo022","A","2015_23self","23_A_153","6/21/16","No","1:00-1:30PM","29-31 C","",""
"154",154,"23","154","2016","Mo022","B","2015_23self","23_B_154","6/21/16","No","1:00-1:30PM","29-31 C","",""
"155",155,"23","155","2016","Mo022","C","2015_23self","23_C_155","6/21/16","No","1:00-1:30PM","29-31 C","",""
"156",156,"23","156","2016","Mo022","D","2015_23self","23_D_156","6/21/16","No","1:00-1:30PM","29-31 C","",""
"157",157,"26","157","2016","Mo023","A","2015_26self","26_A_157","6/11/16","No","1:00-3:00 PM","30-34 C","",""
"158",158,"26","158","2016","Mo023","B","2015_26self","26_B_158","6/11/16","No","1:00-3:00 PM","30-34 C","",""
"159",159,"26","159","2016","Mo023","C","2015_26self","26_C_159","6/11/16","No","1:00-3:00 PM","30-34 C","",""
"160",160,"26","160","2016","Mo023","D","2015_26self","26_D_160","6/11/16","No","1:00-3:00 PM","30-34 C","",""
"161",161,"26","161","2016","Mo023","A","2015_26self","26_A_161","6/16/16","Yes","1:00-2:30 PM","32-34 C","sent to ISU July 2018 plate2",""
"162",162,"26","162","2016","Mo023","B","2015_26self","26_B_162","6/16/16","Yes","1:00-2:30 PM","32-34 C","sent to ISU July 2018 plate2",""
"163",163,"26","163","2016","Mo023","C","2015_26self","26_C_163","6/16/16","Yes","1:00-2:30 PM","32-34 C","sent to ISU July 2018 plate2",""
"164",164,"26","164","2016","Mo023","D","2015_26self","26_D_164","6/16/16","Yes","1:00-2:30 PM","32-34 C","sent to ISU July 2018 plate2",""
"165",165,"26","165","2016","Mo023","A","2015_26self","26_A_165","6/21/16","No","1:00-1:30PM","29-31 C","",""
"166",166,"26","166","2016","Mo023","B","2015_26self","26_B_166","6/21/16","No","1:00-1:30PM","29-31 C","",""
"167",167,"26","167","2016","Mo023","C","2015_26self","26_C_167","6/21/16","No","1:00-1:30PM","29-31 C","",""
"168",168,"26","168","2016","Mo023","D","2015_26self","26_D_168","6/21/16","No","1:00-1:30PM","29-31 C","",""
"169",169,"27","169","2016","Mo024","A","2015_27self","27_A_169","6/11/16","No","1:00-3:00 PM","30-34 C","",""
"170",170,"27","170","2016","Mo024","B","2015_27self","27_B_170","6/11/16","No","1:00-3:00 PM","30-34 C","",""
"171",171,"27","171","2016","Mo024","C","2015_27self","27_C_171","6/11/16","No","1:00-3:00 PM","30-34 C","",""
"172",172,"27","172","2016","Mo024","D","2015_27self","27_D_172","6/11/16","No","1:00-3:00 PM","30-34 C","",""
"173",173,"27","173","2016","Mo024","A","2015_27self","27_A_173","6/16/16","Yes","1:00-2:30 PM","32-34 C","sent to ISU July 2018 plate2",""
"174",174,"27","174","2016","Mo024","B","2015_27self","27_B_174","6/16/16","Yes","1:00-2:30 PM","32-34 C","sent to ISU July 2018 plate2",""
"175",175,"27","175","2016","Mo024","C","2015_27self","27_C_175","6/16/16","Yes","1:00-2:30 PM","32-34 C","sent to ISU July 2018 plate2",""
"176",176,"27","176","2016","Mo024","D","2015_27self","27_D_176","6/16/16","Yes","1:00-2:30 PM","32-34 C","sent to ISU July 2018 plate2",""
"177",177,"27","177","2016","Mo024","A","2015_27self","27_A_177","6/21/16","No","1:00-1:30PM","29-31 C","",""
"178",178,"27","178","2016","Mo024","B","2015_27self","27_B_178","6/21/16","No","1:00-1:30PM","29-31 C","",""
"179",179,"27","179","2016","Mo024","C","2015_27self","27_C_179","6/21/16","No","1:00-1:30PM","29-31 C","",""
"180",180,"27","180","2016","Mo024","D","2015_27self","27_D_180","6/21/16","No","1:00-1:30PM","29-31 C","",""
"181",181,"30","181","2016","Mo025","A","2015_30self","30_A_181","6/11/16","No","1:00-3:00 PM","30-34 C","",""
"182",182,"30","182","2016","Mo025","B","2015_30self","30_B_182","6/11/16","No","1:00-3:00 PM","30-34 C","",""
"183",183,"30","183","2016","Mo025","C","2015_30self","30_C_183","6/11/16","No","1:00-3:00 PM","30-34 C","",""
"184",184,"30","184","2016","Mo025","D","2015_30self","30_D_184","6/11/16","No","1:00-3:00 PM","30-34 C","",""
"185",185,"30","185","2016","Mo025","A","2015_30self","30_A_185","6/16/16","Yes","1:00-2:30 PM","32-34 C","sent to ISU Oct 25, 2016","qPCR test1 and allproducts June 18, 2018"
"186",186,"30","186","2016","Mo025","B","2015_30self","30_B_186","6/16/16","Yes","1:00-2:30 PM","32-34 C","sent to ISU Oct 25, 2016","qPCR test1 and allproducts June 18, 2018"
"187",187,"30","187","2016","Mo025","C","2015_30self","30_C_187","6/16/16","Yes","1:00-2:30 PM","32-34 C","sent to ISU Oct 25, 2016","qPCR test1 and allproducts June 18, 2018"
"188",188,"30","188","2016","Mo025","D","2015_30self","30_D_188","6/16/16","Yes","1:00-2:30 PM","32-34 C","sent to ISU Oct 25, 2016","qPCR test1 and allproducts June 18, 2018"
"189",189,"30","189","2016","Mo025","A","2015_30self","30_A_189","6/21/16","No","1:00-1:30PM","29-31 C","",""
"190",190,"30","190","2016","Mo025","B","2015_30self","30_B_190","6/21/16","No","1:00-1:30PM","29-31 C","",""
"191",191,"30","191","2016","Mo025","C","2015_30self","30_C_191","6/21/16","No","1:00-1:30PM","29-31 C","",""
"192",192,"30","192","2016","Mo025","D","2015_30self","30_D_192","6/21/16","No","1:00-1:30PM","29-31 C","",""
"193",193,"31","193","2016","Mo027","A","2015_31self","31_A_193","6/11/16","No","1:00-3:00 PM","30-34 C","",""
"194",194,"31","194","2016","Mo027","B","2015_31self","31_B_194","6/11/16","No","1:00-3:00 PM","30-34 C","",""
"195",195,"31","195","2016","Mo027","C","2015_31self","31_C_195","6/11/16","No","1:00-3:00 PM","30-34 C","",""
"196",196,"31","196","2016","Mo027","D","2015_31self","31_D_196","6/11/16","No","1:00-3:00 PM","30-34 C","",""
"197",197,"31","197","2016","Mo027","A","2015_31self","31_A_197","6/16/16","Yes","1:00-2:30 PM","32-34 C","sent to ISU July 2018 plate2",""
"198",198,"31","198","2016","Mo027","B","2015_31self","31_B_198","6/16/16","Yes","1:00-2:30 PM","32-34 C","sent to ISU July 2018 plate2",""
"199",199,"31","199","2016","Mo027","C","2015_31self","31_C_199","6/16/16","Yes","1:00-2:30 PM","32-34 C","sent to ISU July 2018 plate2",""
"200",200,"31","200","2016","Mo027","D","2015_31self","31_D_200","6/16/16","Yes","1:00-2:30 PM","32-34 C","sent to ISU July 2018 plate2",""
"201",201,"31","201","2016","Mo027","A","2015_31self","31_A_201","6/21/16","No","1:00-1:30PM","29-31 C","",""
"202",202,"31","202","2016","Mo027","B","2015_31self","31_B_202","6/21/16","No","1:00-1:30PM","29-31 C","",""
"203",203,"31","203","2016","Mo027","C","2015_31self","31_C_203","6/21/16","No","1:00-1:30PM","29-31 C","",""
"204",204,"31","204","2016","Mo027","D","2015_31self","31_D_204","6/21/16","No","1:00-1:30PM","29-31 C","",""
"205",205,"34","205","2016","Mo028","A","2015_34self","34_A_205","6/11/16","No","1:00-3:00 PM","30-34 C","",""
"206",206,"34","206","2016","Mo028","B","2015_34self","34_B_206","6/11/16","No","1:00-3:00 PM","30-34 C","",""
"207",207,"34","207","2016","Mo028","C","2015_34self","34_C_207","6/11/16","No","1:00-3:00 PM","30-34 C","",""
"208",208,"34","208","2016","Mo028","D","2015_34self","34_D_208","6/11/16","No","1:00-3:00 PM","30-34 C","",""
"209",209,"34","209","2016","Mo028","A","2015_34self","34_A_209","6/16/16","Yes","1:00-2:30 PM","32-34 C","sent to ISU July 2018 plate2",""
