Plot,Sample #,Year,Genotype,Replicate,Derivation,Barcode,Date,RNAlater,Time,Temp. in C,Additional Notes:,info about qPCR at ARQ
7,52,2016,Mo008,D,2015_7self,7_D_52,6/11/16,No,1:00-3:00 PM,30-34 C,,
7,53,2016,Mo008,A,2015_7self,7_A_53,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate2,
7,54,2016,Mo008,B,2015_7self,7_B_54,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate2,
7,55,2016,Mo008,C,2015_7self,7_C_55,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate2,
7,56,2016,Mo008,D,2015_7self,7_D_56,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate2,
7,57,2016,Mo008,A,2015_7self,7_A_57,6/21/16,No,1:00-1:30 PM,29-31 C,,
7,58,2016,Mo008,B,2015_7self,7_B_58,6/21/16,No,1:00-1:30PM,29-31 C,,
7,59,2016,Mo008,C,2015_7self,7_C_59,6/21/16,No,1:00-1:30PM,29-31 C,,
7,60,2016,Mo008,D,2015_7self,7_D_60,6/21/16,No,1:00-1:30PM,29-31 C,,
10,61,2016,Mo010,A,2015_10self,10_A_61,6/11/16,No,1:00-3:00 PM,30-34 C,,
10,62,2016,Mo010,B,2015_10self,10_B_62,6/11/16,No,1:00-3:00 PM,30-34 C,,
10,63,2016,Mo010,C,2015_10self,10_C_63,6/11/16,No,1:00-3:00 PM,30-34 C,,
10,64,2016,Mo010,D,2015_10self,10_D_64,6/11/16,No,1:00-3:00 PM,30-34 C,,
10,65,2016,Mo010,A,2015_10self,10_A_65,6/16/16,Yes,1:00-2:30 PM,32-34 C,"sent to ISU Oct 25, 2016, biosprint RNA test plate with 260/280","qPCR test1 and allproducts June 18, 2018"
10,66,2016,Mo010,B,2015_10self,10_B_66,6/16/16,Yes,1:00-2:30 PM,32-34 C,"sent to ISU Oct 25, 2016","qPCR test1 and allproducts June 18, 2018"
10,67,2016,Mo010,C,2015_10self,10_C_67,6/16/16,Yes,1:00-2:30 PM,32-34 C,"sent to ISU Oct 25, 2016","qPCR test1 and allproducts June 18, 2018"
10,68,2016,Mo010,D,2015_10self,10_D_68,6/16/16,Yes,1:00-2:30 PM,32-34 C,"sent to ISU Oct 25, 2016","qPCR test1 and allproducts June 18, 2018"
10,69,2016,Mo010,A,2015_10self,10_A_69,6/21/16,No,1:00-1:30PM,29-31 C,,
10,70,2016,Mo010,B,2015_10self,10_B_70,6/21/16,No,1:00-1:30PM,29-31 C,,
10,71,2016,Mo010,C,2015_10self,10_C_71,6/21/16,No,1:00-1:30PM,29-31 C,,
10,72,2016,Mo010,D,2015_10self,10_D_72,6/21/16,No,1:00-1:30PM,29-31 C,,
11,73,2016,Mo012,A,2015_6self,11_A_73,6/11/16,No,1:00-3:00 PM,30-34 C,,
11,74,2016,Mo012,B,2015_6self,11_B_74,6/11/16,No,1:00-3:00 PM,30-34 C,,
11,75,2016,Mo012,C,2015_6self,11_C_75,6/11/16,No,1:00-3:00 PM,30-34 C,,
11,76,2016,Mo012,D,2015_6self,11_D_76,6/11/16,No,1:00-3:00 PM,30-34 C,,
11,77,2016,Mo012,A,2015_6self,11_A_77,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate2,
11,78,2016,Mo012,B,2015_6self,11_B_78,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate2,
11,79,2016,Mo012,C,2015_6self,11_C_79,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate2,
11,80,2016,Mo012,D,2015_6self,11_D_80,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate2,
11,81,2016,Mo012,A,2015_6self,11_A_81,6/21/16,No,1:00-1:30PM,29-31 C,,
11,82,2016,Mo012,B,2015_6self,11_B_82,6/21/16,No,1:00-1:30PM,29-31 C,,
11,83,2016,Mo012,C,2015_6self,11_C_83,6/21/16,No,1:00-1:30PM,29-31 C,,
11,84,2016,Mo012,D,2015_6self,11_D_84,6/21/16,No,1:00-1:30PM,29-31 C,,
14,85,2016,Mo014,A,2015_14self,14_A_85,6/11/16,No,1:00-3:00 PM,30-34 C,,
14,86,2016,Mo014,B,2015_14self,14_B_86,6/11/16,No,1:00-3:00 PM,30-34 C,,
14,87,2016,Mo014,C,2015_14self,14_C_87,6/11/16,No,1:00-3:00 PM,30-34 C,,
14,88,2016,Mo014,D,2015_14self,14_D_88,6/11/16,No,1:00-3:00 PM,30-34 C,,
14,89,2016,Mo014,A,2015_14self,14_A_89,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate2,
14,90,2016,Mo014,B,2015_14self,14_B_90,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate2,
14,91,2016,Mo014,C,2015_14self,14_C_91,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate2,
14,92,2016,Mo014,D,2015_14self,14_D_92,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate2,
14,93,2016,Mo014,A,2015_14self,14_A_93,6/21/16,No,1:00-1:30PM,29-31 C,,
14,94,2016,Mo014,B,2015_14self,14_B_94,6/21/16,No,1:00-1:30PM,29-31 C,,
14,95,2016,Mo014,C,2015_14self,14_C_95,6/21/16,No,1:00-1:30PM,29-31 C,,
14,96,2016,Mo014,D,2015_14self,14_D_96,6/21/16,No,1:00-1:30PM,29-31 C,,
15,97,2016,Mo015,A,2015_15self,15_A_97,6/11/16,No,1:00-3:00 PM,30-34 C,,
15,98,2016,Mo015,B,2015_15self,15_B_98,6/11/16,No,1:00-3:00 PM,30-34 C,,
15,99,2016,Mo015,C,2015_15self,15_C_99,6/11/16,No,1:00-3:00 PM,30-34 C,,
15,100,2016,Mo015,D,2015_15self,15_D_100,6/11/16,No,1:00-3:00 PM,30-34 C,,
15,101,2016,Mo015,A,2015_15self,15_A_101,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate2,
15,102,2016,Mo015,B,2015_15self,15_B_102,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate2,
15,103,2016,Mo015,C,2015_15self,15_C_103,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate2,
15,104,2016,Mo015,D,2015_15self,15_D_104,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate2,
15,105,2016,Mo015,A,2015_15self,15_A_105,6/21/16,No,1:00-1:30PM,29-31 C,,
15,106,2016,Mo015,B,2015_15self,15_B_106,6/21/16,No,1:00-1:30PM,29-31 C,,
15,107,2016,Mo015,C,2015_15self,15_C_107,6/21/16,No,1:00-1:30PM,29-31 C,,
15,108,2016,Mo015,D,2015_15self,15_D_108,6/21/16,No,1:00-1:30PM,29-31 C,,
18,109,2016,Mo016,A,2015_18self,18_A_109,6/11/16,No,1:00-3:00 PM,30-34 C,,
18,110,2016,Mo016,B,2015_18self,18_B_110,6/11/16,No,1:00-3:00 PM,30-34 C,,
18,111,2016,Mo016,C,2015_18self,18_C_111,6/11/16,No,1:00-3:00 PM,30-34 C,,
18,112,2016,Mo016,D,2015_18self,18_D_112,6/11/16,No,1:00-3:00 PM,30-34 C,,
18,113,2016,Mo016,A,2015_18self,18_A_113,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate2,
18,114,2016,Mo016,B,2015_18self,18_B_114,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate2,
18,115,2016,Mo016,C,2015_18self,18_C_115,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate2,
18,116,2016,Mo016,D,2015_18self,18_D_116,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate2,
18,117,2016,Mo016,A,2015_18self,18_A_117,6/21/16,No,1:00-1:30PM,29-31 C,,
18,118,2016,Mo016,B,2015_18self,18_B_118,6/21/16,No,1:00-1:30PM,29-31 C,,
18,119,2016,Mo016,C,2015_18self,18_C_119,6/21/16,No,1:00-1:30PM,29-31 C,,
18,120,2016,Mo016,D,2015_18self,18_D_120,6/21/16,No,1:00-1:30PM,29-31 C,,
19,121,2016,Mo017,A,2015_19self,19_A_121,6/11/16,No,1:00-3:00 PM,30-34 C,,
19,122,2016,Mo017,B,2015_19self,19_B_122,6/11/16,No,1:00-3:00 PM,30-34 C,,
19,123,2016,Mo017,C,2015_19self,19_C_123,6/11/16,No,1:00-3:00 PM,30-34 C,,
19,124,2016,Mo017,D,2015_19self,19_D_124,6/11/16,No,1:00-3:00 PM,30-34 C,,
19,125,2016,Mo017,A,2015_19self,19_A_125,6/16/16,Yes,1:00-2:30 PM,32-34 C,,
19,126,2016,Mo017,B,2015_19self,19_B_126,6/16/16,Yes,1:00-2:30 PM,32-34 C,"sent to ISU Oct 25, 2016","qPCR test1 and allproducts June 18, 2018"
19,127,2016,Mo017,C,2015_19self,19_C_127,6/16/16,Yes,1:00-2:30 PM,32-34 C,"sent to ISU Oct 25, 2016","qPCR test1 and allproducts June 18, 2018"
19,128,2016,Mo017,D,2015_19self,19_D_128,6/16/16,Yes,1:00-2:30 PM,32-34 C,"sent to ISU Oct 25, 2016","qPCR test1 and allproducts June 18, 2018"
19,129,2016,Mo017,A,2015_19self,19_A_129,6/21/16,No,1:00-1:30PM,29-31 C,"sent to ISU Oct 25, 2016","qPCR test1 and allproducts June 18, 2018"
19,130,2016,Mo017,B,2015_19self,19_B_130,6/21/16,No,1:00-1:30PM,29-31 C,,
19,131,2016,Mo017,C,2015_19self,19_C_131,6/21/16,No,1:00-1:30PM,29-31 C,,
19,132,2016,Mo017,D,2015_19self,19_D_132,6/21/16,No,1:00-1:30PM,29-31 C,,
22,133,2016,Mo021,A,2015_22self,22_A_133,6/11/16,No,1:00-3:00 PM,30-34 C,,
22,134,2016,Mo021,B,2015_22self,22_B_134,6/11/16,No,1:00-3:00 PM,30-34 C,,
22,135,2016,Mo021,C,2015_22self,22_C_135,6/11/16,No,1:00-3:00 PM,30-34 C,,
22,136,2016,Mo021,D,2015_22self,22_D_136,6/11/16,No,1:00-3:00 PM,30-34 C,,
22,137,2016,Mo021,A,2015_22self,22_A_137,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate2,
22,138,2016,Mo021,B,2015_22self,22_B_138,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate2,
22,139,2016,Mo021,C,2015_22self,22_C_139,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate2,
22,140,2016,Mo021,D,2015_22self,22_D_140,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate2,
22,141,2016,Mo021,A,2015_22self,22_A_141,6/21/16,No,1:00-1:30PM,29-31 C,,
22,142,2016,Mo021,B,2015_22self,22_B_142,6/21/16,No,1:00-1:30PM,29-31 C,,
22,143,2016,Mo021,C,2015_22self,22_C_143,6/21/16,No,1:00-1:30PM,29-31 C,,
22,144,2016,Mo021,D,2015_22self,22_D_144,6/21/16,No,1:00-1:30PM,29-31 C,,
23,145,2016,Mo022,A,2015_23self,23_A_145,6/11/16,No,1:00-3:00 PM,30-34 C,,
23,146,2016,Mo022,B,2015_23self,23_B_146,6/11/16,No,1:00-3:00 PM,30-34 C,,
23,147,2016,Mo022,C,2015_23self,23_C_147,6/11/16,No,1:00-3:00 PM,30-34 C,,
23,148,2016,Mo022,D,2015_23self,23_D_148,6/11/16,No,1:00-3:00 PM,30-34 C,,
23,149,2016,Mo022,A,2015_23self,23_A_149,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate2,
23,150,2016,Mo022,B,2015_23self,23_B_150,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate2,
23,151,2016,Mo022,C,2015_23self,23_C_151,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate2,
23,152,2016,Mo022,D,2015_23self,23_D_152,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate2,
23,153,2016,Mo022,A,2015_23self,23_A_153,6/21/16,No,1:00-1:30PM,29-31 C,,
23,154,2016,Mo022,B,2015_23self,23_B_154,6/21/16,No,1:00-1:30PM,29-31 C,,
23,155,2016,Mo022,C,2015_23self,23_C_155,6/21/16,No,1:00-1:30PM,29-31 C,,
23,156,2016,Mo022,D,2015_23self,23_D_156,6/21/16,No,1:00-1:30PM,29-31 C,,
26,157,2016,Mo023,A,2015_26self,26_A_157,6/11/16,No,1:00-3:00 PM,30-34 C,,
26,158,2016,Mo023,B,2015_26self,26_B_158,6/11/16,No,1:00-3:00 PM,30-34 C,,
26,159,2016,Mo023,C,2015_26self,26_C_159,6/11/16,No,1:00-3:00 PM,30-34 C,,
26,160,2016,Mo023,D,2015_26self,26_D_160,6/11/16,No,1:00-3:00 PM,30-34 C,,
26,161,2016,Mo023,A,2015_26self,26_A_161,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate2,
26,162,2016,Mo023,B,2015_26self,26_B_162,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate2,
26,163,2016,Mo023,C,2015_26self,26_C_163,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate2,
26,164,2016,Mo023,D,2015_26self,26_D_164,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate2,
26,165,2016,Mo023,A,2015_26self,26_A_165,6/21/16,No,1:00-1:30PM,29-31 C,,
26,166,2016,Mo023,B,2015_26self,26_B_166,6/21/16,No,1:00-1:30PM,29-31 C,,
26,167,2016,Mo023,C,2015_26self,26_C_167,6/21/16,No,1:00-1:30PM,29-31 C,,
26,168,2016,Mo023,D,2015_26self,26_D_168,6/21/16,No,1:00-1:30PM,29-31 C,,
27,169,2016,Mo024,A,2015_27self,27_A_169,6/11/16,No,1:00-3:00 PM,30-34 C,,
27,170,2016,Mo024,B,2015_27self,27_B_170,6/11/16,No,1:00-3:00 PM,30-34 C,,
27,171,2016,Mo024,C,2015_27self,27_C_171,6/11/16,No,1:00-3:00 PM,30-34 C,,
27,172,2016,Mo024,D,2015_27self,27_D_172,6/11/16,No,1:00-3:00 PM,30-34 C,,
27,173,2016,Mo024,A,2015_27self,27_A_173,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate2,
27,174,2016,Mo024,B,2015_27self,27_B_174,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate2,
27,175,2016,Mo024,C,2015_27self,27_C_175,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate2,
27,176,2016,Mo024,D,2015_27self,27_D_176,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate2,
27,177,2016,Mo024,A,2015_27self,27_A_177,6/21/16,No,1:00-1:30PM,29-31 C,,
27,178,2016,Mo024,B,2015_27self,27_B_178,6/21/16,No,1:00-1:30PM,29-31 C,,
27,179,2016,Mo024,C,2015_27self,27_C_179,6/21/16,No,1:00-1:30PM,29-31 C,,
27,180,2016,Mo024,D,2015_27self,27_D_180,6/21/16,No,1:00-1:30PM,29-31 C,,
30,181,2016,Mo025,A,2015_30self,30_A_181,6/11/16,No,1:00-3:00 PM,30-34 C,,
30,182,2016,Mo025,B,2015_30self,30_B_182,6/11/16,No,1:00-3:00 PM,30-34 C,,
30,183,2016,Mo025,C,2015_30self,30_C_183,6/11/16,No,1:00-3:00 PM,30-34 C,,
30,184,2016,Mo025,D,2015_30self,30_D_184,6/11/16,No,1:00-3:00 PM,30-34 C,,
30,185,2016,Mo025,A,2015_30self,30_A_185,6/16/16,Yes,1:00-2:30 PM,32-34 C,"sent to ISU Oct 25, 2016","qPCR test1 and allproducts June 18, 2018"
30,186,2016,Mo025,B,2015_30self,30_B_186,6/16/16,Yes,1:00-2:30 PM,32-34 C,"sent to ISU Oct 25, 2016","qPCR test1 and allproducts June 18, 2018"
30,187,2016,Mo025,C,2015_30self,30_C_187,6/16/16,Yes,1:00-2:30 PM,32-34 C,"sent to ISU Oct 25, 2016","qPCR test1 and allproducts June 18, 2018"
30,188,2016,Mo025,D,2015_30self,30_D_188,6/16/16,Yes,1:00-2:30 PM,32-34 C,"sent to ISU Oct 25, 2016","qPCR test1 and allproducts June 18, 2018"
30,189,2016,Mo025,A,2015_30self,30_A_189,6/21/16,No,1:00-1:30PM,29-31 C,,
30,190,2016,Mo025,B,2015_30self,30_B_190,6/21/16,No,1:00-1:30PM,29-31 C,,
30,191,2016,Mo025,C,2015_30self,30_C_191,6/21/16,No,1:00-1:30PM,29-31 C,,
30,192,2016,Mo025,D,2015_30self,30_D_192,6/21/16,No,1:00-1:30PM,29-31 C,,
31,193,2016,Mo027,A,2015_31self,31_A_193,6/11/16,No,1:00-3:00 PM,30-34 C,,
31,194,2016,Mo027,B,2015_31self,31_B_194,6/11/16,No,1:00-3:00 PM,30-34 C,,
31,195,2016,Mo027,C,2015_31self,31_C_195,6/11/16,No,1:00-3:00 PM,30-34 C,,
31,196,2016,Mo027,D,2015_31self,31_D_196,6/11/16,No,1:00-3:00 PM,30-34 C,,
31,197,2016,Mo027,A,2015_31self,31_A_197,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate2,
31,198,2016,Mo027,B,2015_31self,31_B_198,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate2,
31,199,2016,Mo027,C,2015_31self,31_C_199,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate2,
31,200,2016,Mo027,D,2015_31self,31_D_200,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate2,
31,201,2016,Mo027,A,2015_31self,31_A_201,6/21/16,No,1:00-1:30PM,29-31 C,,
31,202,2016,Mo027,B,2015_31self,31_B_202,6/21/16,No,1:00-1:30PM,29-31 C,,
31,203,2016,Mo027,C,2015_31self,31_C_203,6/21/16,No,1:00-1:30PM,29-31 C,,
31,204,2016,Mo027,D,2015_31self,31_D_204,6/21/16,No,1:00-1:30PM,29-31 C,,
34,205,2016,Mo028,A,2015_34self,34_A_205,6/11/16,No,1:00-3:00 PM,30-34 C,,
34,206,2016,Mo028,B,2015_34self,34_B_206,6/11/16,No,1:00-3:00 PM,30-34 C,,
34,207,2016,Mo028,C,2015_34self,34_C_207,6/11/16,No,1:00-3:00 PM,30-34 C,,
34,208,2016,Mo028,D,2015_34self,34_D_208,6/11/16,No,1:00-3:00 PM,30-34 C,,
34,209,2016,Mo028,A,2015_34self,34_A_209,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate2,
34,210,2016,Mo028,B,2015_34self,34_B_210,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate2,
34,211,2016,Mo028,C,2015_34self,34_C_211,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate2,
34,212,2016,Mo028,D,2015_34self,34_D_212,6/16/16,Yes,1:00-2:30 PM,32-34 C,sent to ISU July 2018 plate2,
34,213,2016,Mo028,A,2015_34self,34_A_213,6/21/16,No,1:00-1:30PM,29-31 C,,
34,214,2016,Mo028,B,2015_34self,34_B_214,6/21/16,No,1:00-1:30PM,29-31 C,,
34,215,2016,Mo028,C,2015_34self,34_C_215,6/21/16,No,1:00-1:30PM,29-31 C,,
34,216,2016,Mo028,D,2015_34self,34_D_216,6/21/16,No,1:00-1:30PM,29-31 C,,
35,217,2016,Mo029,A,2015_35self,35_A_217,6/11/16,No,1:00-3:00 PM,30-34 C,,
35,218,2016,Mo029,B,2015_35self,35_B_218,6/11/16,No,1:00-3:00 PM,30-34 C,,
35,219,2016,Mo029,C,2015_35self,35_C_219,6/11/16,No,1:00-3:00 PM,30-34 C,,
35,220,2016,Mo029,D,2015_35self,35_D_220,6/11/16,No,1:00-3:00 PM,30-34 C,,
35,221,2016,Mo029,A,2015_35self,35_A_221,6/16/16,Yes,1:00-2:30 PM,32-34 C,"sent to ISU Oct 25, 2016","qPCR test1 and allproducts June 18, 2018"
35,222,2016,Mo029,B,2015_35self,35_B_222,6/16/16,Yes,1:00-2:30 PM,32-34 C,"sent to ISU Oct 25, 2016","qPCR test1 and allproducts June 18, 2018"
35,223,2016,Mo029,C,2015_35self,35_C_223,6/16/16,Yes,1:00-2:30 PM,32-34 C,"sent to ISU Oct 25, 2016","qPCR test1 and allproducts June 18, 2018"
35,224,2016,Mo029,D,2015_35self,35_D_224,6/16/16,Yes,1:00-2:30 PM,32-34 C,"sent to ISU Oct 25, 2016","qPCR test1 and allproducts June 18, 2018"
35,225,2016,Mo029,A,2015_35self,35_A_225,6/21/16,No,1:00-1:30PM,29-31 C,,
35,226,2016,Mo029,B,2015_35self,35_B_226,6/21/16,No,1:00-1:30PM,29-31 C,,
35,227,2016,Mo029,C,2015_35self,35_C_227,6/21/16,No,1:00-1:30PM,29-31 C,,
35,228,2016,Mo029,D,2015_35self,35_D_228,6/21/16,No,1:00-1:30PM,29-31 C,,
38,229,2016,Mo030,A,2015_38self,38_A_229,6/11/16,No,1:00-3:00 PM,30-34 C,,
38,230,2016,Mo030,B,2015_38self,38_B_230,6/11/16,No,1:00-3:00 PM,30-34 C,,
38,231,2016,Mo030,C,2015_38self,38_C_231,6/11/16,No,1:00-3:00 PM,30-34 C,,
38,232,2016,Mo030,D,2015_38self,38_D_232,6/11/16,No,1:00-3:00 PM,30-34 C,,
